title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,saturday,sunday,monday,tuesday,wednesday,thursday,friday,imgUrl,isClaimed,latitude,longitude
MOBIKLINIK SERVICE MOBILNI / PC,5,121,Mobile phone repair shop,EMPTY,MK  Mile Popjordanov 37a  Skopje 1000  North Macedonia,XCV2+XP Skopje North Macedonia,apple.com,+389 76 677 277,10am-3pm,Closed,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,https://lh5.googleusercontent.com/p/AF1QipNsdpmzW-la1431K_mnMLoauabmUU5RK3hONwJA=w425-h240-k-no,TRUE,41.9949375,21.4018125
PwC Macedonia,5,1,Financial audit,EMPTY,Bul. 8 Septemvri br.16  Hiperium Biznis  North Macedonia,2C44+CQ Skopje North Macedonia,pwc.com,+389 2 314 0900,,,,,,,,https://geo2.ggpht.com/cbk?panoid=iaDcwA5Mi_qA-pSJzqO-Vg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=345.1524&pitch=0&thumbfov=100,FALSE,42.0060625,21.4069375
Gorenje,5,3,Business Centre,EMPTY,Boulevard 8-mi Septemvri  Skopje 1000  North Macedonia,2C44+HF Skopje North Macedonia,gorenje.com.mk,+389 2 308 8150,,,,,,,,https://geo2.ggpht.com/cbk?panoid=nl0i1oNAG9pjXrPqZ2DJTA&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=107.9679&pitch=0&thumbfov=100,FALSE,42.0064375,21.4061875
Vero Center Mall,4.4,4371,Shopping Centre,EMPTY,Skopje 1000  North Macedonia,XCVR+5J Skopje North Macedonia,vero.com.mk,+389 2 306 9916,8am-10pm,8am-10pm,8am-10pm,8am-10pm,8am-10pm,8am-10pm,8am-10pm,https://lh5.googleusercontent.com/p/AF1QipM3IvctsDOuM6TTeBLsB4w9E6pwL2t0pxJwTLjx=w426-h240-k-no,FALSE,41.9929375,21.4415625
Fresh Market,,,Supermarket,"Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.",R1206  Golema Rechitsa  North Macedonia,"XWMV+H7 Golema Rechitsa, North Macedonia",,,,,,,,,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,41.9839375,20.9431875
Miniso,,,Homewares Shop,EMPTY,North Macedonia  Tetovo  Skopski pat br.8,"2X4R+33 Tetovo, North Macedonia",,,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,FALSE,42.0051875,20.9901875
"Pets ""N"" Things",4.7,33,Pet Shop,EMPTY,63 South Bridge St  Airdrie ML6 6JH,V299+3C Airdrie,,01236 770886,10am-2pm,Closed,10am-2pm,10am-2pm,10am-2pm,10am-2pm,10am-2pm,,TRUE,55.8676875,-3.9814375
Mango,4.1,8,Supermarket,Fashion chain selling upscale womenswear & accessories (some carry men's apparel).,Marsal Tito  Chegrane 1237  North Macedonia,"RXPF+V4 Chegrane, North Macedonia",,,7-11am,7-11am,7-11am,7-11am,7-11am,7-11am,7-11am,,FALSE,41.8371875,20.9728125
Nixon W & Sons,4.7,16,Pet Shop,EMPTY,5 Bank St  Carlisle CA3 8HG,V3V8+G4 Carlisle,,01228 522900,9:30am-5pm,11am-4pm,9:30am-5pm,9:30am-5pm,9:30am-5pm,9:30am-5pm,9:30am-5pm,https://lh5.googleusercontent.com/p/AF1QipPOKKOfa6UKftrSXROtO9wPoT5iTIVA19NwI1v-=w408-h306-k-no,FALSE,54.8938125,-2.9346875
Pets at Home Newton Mearns,4.4,113,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Greenlaw Village  1  Greenlaw Dr  Glasgow G77 6GW,"QMM2+2J Newton Mearns, Glasgow",community.petsathome.com,0345 266 0145,9am-7pm,10am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,https://lh5.googleusercontent.com/p/AF1QipPN9lEoExix4YsNYjHx-QHTn6wXFhVinSe6sQCd=w408-h272-k-no,FALSE,55.7825625,-4.3484375
Pets at Home Dumfries,4.4,216,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",3  The Peel Centre  Dumfries DG1 3PF,3CF8+C4 Dumfries,community.petsathome.com,01387 263024,9am-7pm,11am-5pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,,FALSE,55.0735625,-3.5846875
The Pet Shop,4.7,168,Pet Shop,   In-store shopping     In-store pick-up     Delivery,Houstoun Court  3 & 4 Houstoun Square  Johnstone PA5 8DL,RFPP+8W Johnstone,the-petshop.co.uk,01505 327722,9am-5:30pm,Closed,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,https://lh5.googleusercontent.com/p/AF1QipNOnH5YznK-SX33xPg8Edj1CuQ4Nz1g2GgvYEUi=w408-h305-k-no,TRUE,55.8358125,-4.5126875
K9Active.co.uk,4.9,44,Pet Shop,   In-store shopping     Curbside pickup,The Old Fire Station  Castle Rd  Rosyth  Dunfermline KY11 2ED,2HJF+W9 Dunfermline,k9active.co.uk,01383 624127,10:30am-5pm,12-4pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,,TRUE,56.0323125,-3.4265625
Pets at Home Dunfermline,4.3,557,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Halbeath Retail Park  Halbeath Rd  Dunfermline KY11 4LP,3HJV+M5 Dunfermline,community.petsathome.com,0345 266 8882,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,56.0816875,-3.4070625
Olympia Pets,4.6,100,Pet Shop,EMPTY,8 Righead gate  East Kilbride  Glasgow G74 1LS,"QR6C+8G East Kilbride, Glasgow",olympiapets.weebly.com,01355 458857,9:30am-5:30pm,12-5pm,9:30am-5:30pm,9:30am-5:30pm,9:30am-5:30pm,9:30am-5:30pm,9:30am-5:30pm,,FALSE,55.7608125,-4.1786875
Pets At Home Lanark,4.3,110,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Braidfute Retail Park  8  Old Market Rd  Lanark ML11 7LQ,M6CJ+HV Lanark,community.petsathome.com,0845 266 1281,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,https://lh5.googleusercontent.com/p/AF1QipPnBz29Vr6kJewBjjJHiDEI3tGpc9uaMa2V1uB5=w408-h544-k-no,FALSE,55.6714375,-3.7678125
Pets Corner,4.5,148,Pet Shop,   In-store shopping     Curbside pickup     Delivery,Bluesky House  Western Way  Melksham SN12 8BZ,9VH3+3X Melksham,petscorner.co.uk,01225 704740,9am-6pm,10am-4pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,https://lh5.googleusercontent.com/p/AF1QipPnIwplRXDRndcm-e73huST2A3gtAY1JI2YvFzv=w422-h240-k-no,FALSE,51.3776875,-2.1450625
All 4 Pets,4.7,69,Pet Shop,EMPTY,4 Stuart St  East Kilbride  Glasgow G74 4NG,"QR8G+37 East Kilbride, Glasgow",all4pets.co,01355 224592,9am-5pm,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,,TRUE,55.7651875,-4.1743125
Creature Comforts,4.6,138,Pet Shop,"Pet accessories store selling bedding, carriers and food, with a boarding service for small animals.",25 Eaglesham Rd  Clarkston  Glasgow G76 7DH,"QPMF+MX Clarkston, Glasgow",creaturecomfortsweb.co.uk,0141 644 5030,9am-5:30pm,12-4pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,,FALSE,55.7841875,-4.2750625
Hill Lord & Co Pet Shop,4.8,73,Pet Shop,EMPTY,35 Bruntsfield Pl  Edinburgh EH10 4HJ,WQQW+P3 Edinburgh,hill-lord.co.uk,0131 229 6655,9:30am-4:45pm,Closed,9:30am-5:45pm,9:30am-5:45pm,9:30am-4:45pm,9:30am-5:45pm,9:30am-5:45pm,https://lh5.googleusercontent.com/p/AF1QipM0JDPPhKvPvDhwFvPPA3jkN-NRUZZsRqZhXPpq=w426-h240-k-no,TRUE,55.9393125,-3.2048125
Perfect Pets Quality Pet Supplies,4.8,4,Pet Care Store,,489 Main St  Coatbridge ML5 3RD,VX6V+7M Coatbridge,,01236 424585,9am-5:30pm,Closed,9am-7pm,9am-5:30pm,9am-5:30pm,9am-7pm,9am-5:30pm,https://geo0.ggpht.com/cbk?panoid=4FPjC3LT2Fs_OB8P4FRwgw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=327.71075&pitch=0&thumbfov=100,FALSE,55.8606875,-4.0058125
The Pet Shop,4.2,117,Pet Shop,,226 High St  Kirkcaldy KY1 1JT,4R6V+P4 Kirkcaldy,thepetshoponline.com,01592 264613,9am-4pm,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,https://lh5.googleusercontent.com/p/AF1QipMSmYLEyeN31pIaTTQPpjjzz27K8Pvv3aS53HJ_=w408-h723-k-no,TRUE,56.1118125,-3.1571875
Maggies Pet Store - Stockport,4.9,63,Pet Shop,,312C Buxton Rd  Stockport SK2 7DD,9VQ7+F4 Stockport,maggiespetstore.co.uk,0161 483 8194,9am-5pm,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,,TRUE,53.3886875,-2.1371875
Dixie Doodles Pet Shop | Bridge of Allan,,,Pet Shop,,18 Henderson St  Bridge of Allan  Stirling FK9 4HP,5342+45 Bridge of Allan,dixiedoodles.co.uk,01786 595001,10am-5pm,11am-3pm,10am-4pm,10am-4pm,10am-5pm,10am-5pm,10am-5pm,,TRUE,56.1553125,-3.9495625
Dofos Pet Center & Dog Grooming,4.9,24,Pet Shop,,119 Comiston Rd  Edinburgh EH10 6AQ,WQCQ+QH Edinburgh,dofos.co.uk,0131 557 4666,9am-5pm,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,https://lh5.googleusercontent.com/p/AF1QipM6SfGrImvEEWUiZNZaxrdcuM-7yImJUrfGTQwu=w408-h544-k-no,FALSE,55.9219375,-3.2110625
Pets at Home Galashiels,4.3,223,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Gala Water Retail Park  Huddersfield St  Galashiels TD1 3AP,J57X+C5 Galashiels,community.petsathome.com,01896 759966,9am-7pm,10am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,https://lh5.googleusercontent.com/p/AF1QipMajNLaDg4BLWIB4vrzIQt6fZ-WIqfl5zLzy04j=w408-h544-k-no,FALSE,55.6135625,-2.8020625
Thomas Hays Pet Store,3.2,87,Pet Shop,,2 Osborne St  Glasgow G1 5QN,VQ44+C2 Glasgow,,0141 552 3170,10am-5pm,11am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,https://lh5.googleusercontent.com/p/AF1QipN_PZ-il1d-rpsbD9TTmldr81GfZ20yVHrQf88g=w408-h306-k-no,TRUE,55.8560625,-4.2449375
Pets at Home Wishaw,4.2,421,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Caledonian Retail Park  Glasgow Rd  Wishaw ML2 7SN,Q3G2+6V Wishaw,community.petsathome.com,01698 375700,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,55.7755625,-3.9478125
Cru Specialist Pet Shop,4.6,28,Pet Shop,,534 Great Western Rd  Glasgow G12 8EL,VPG8+9P Glasgow,crupetshop.co.uk,0141 387 9077,10am-4pm,Closed,10am-4pm,10am-4pm,10am-4pm,Closed,10am-4pm,,TRUE,55.8759375,-4.2831875
Jollyes - The Pet Superstore Clydebank,4.4,361,Pet Shop,,Unit 4  Clyde Retail Park  79 Livingstone St  Clydebank G81 2XA,WJ33+GG Clydebank,jollyes.co.uk,0141 952 6972,9am-5pm,10am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,,FALSE,55.9038125,-4.3961875
Pets at Home Corstophine,4.3,686,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",1-17 Glasgow Rd  Corstorphine  Edinburgh EH12 7UF,WPR4+J3 Edinburgh,community.petsathome.com,0345 850 9654,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPuYNsbzGb8w3sc37Qi-L9jWIQfqD_V8x5qwZsP=w408-h544-k-no,FALSE,55.9415625,-3.2948125
Pets at Home Livingston,4.3,911,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",4  Almondvale Retail Park  Almondvale S  Boulevard  Livingston EH54 6QX,VFJH+63 Livingston,community.petsathome.com,0345 600 9473,,,,,,,,,FALSE,55.8805625,-3.5223125
Dixie Doodles Pet Shop | Stirling,4.9,50,Pet Shop,,Unit 3  1 Cunningham Rd  Springkerse Industrial Estate  Stirling FK7 7SW,438M+H5 Stirling,dixiedoodles.co.uk,01786 595001,10am-4pm,Closed,11am-5pm,11am-5pm,11am-5pm,11am-5pm,11am-5pm,,TRUE,56.1164375,-3.9170625
Arcade Pet Stores,5,3,Pet Shop,,16  Devonshire Arcade  Devonshire St  Penrith CA11 7SX,M67X+M5 Penrith,,01768 863809,9:30am-3pm,Closed,Closed,9:30am-3pm,9:30am-3pm,9:30am-3pm,9:30am-3pm,https://lh5.googleusercontent.com/p/AF1QipM0uhvnVvYSaFh4PSRQwTnw5gkRzrdCECxwUM8B=w408-h408-k-no,TRUE,54.6641875,-2.7520625
The Fin Room,4.6,101,Pet Shop,   In-store shopping     Curbside pickup     Delivery,Unit 4  58-60 Albert St  Motherwell ML1 1PR,Q2V9+2J Motherwell,thefinroom.com,07446 255157,11am-4:30pm,12-4pm,11am-4:30pm,11am-4:30pm,11am-4:30pm,11am-4:30pm,11am-4:30pm,https://lh5.googleusercontent.com/p/AF1QipPSXPs5nk0VPZpILnSB1eaE3wTv6gl2hfZZ31Zj=w408-h306-k-no,TRUE,55.7925625,-3.9809375
Pets Corner,4.5,153,Pet Shop,   In-store shopping     Curbside pickup     Delivery,24 High St  Harrogate HG2 7HY,XFXX+7W Harrogate,petscorner.co.uk,01423 881147,9am-6pm,10:30am-4:30pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,https://lh5.googleusercontent.com/p/AF1QipPvh5ZA6poZ7nrw0vCd94rQYjpcyCy_rEFFY15E=w426-h240-k-no,FALSE,53.9981875,-1.5001875
Pets at Home Hamilton,4.4,650,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Palace grounds retail park  6 Palace Grounds Rd  Hamilton ML3 6AD,QXHF+GC Hamilton,community.petsathome.com,0345 266 6576,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,https://lh5.googleusercontent.com/p/AF1QipPBa2B2DZU52rGEtgt_l4vSVa8D2W0LqFzpRKcD=w426-h240-k-no,FALSE,,
Capital Pets,4.8,28,Pet Shop,,134 Easter Rd  Edinburgh EH7 5RJ,XR5H+WC Edinburgh,,0131 661 8011,9am-4:30pm,Closed,9am-5:30pm,9am-5:30pm,Closed,9am-5:30pm,9am-5:30pm,https://geo3.ggpht.com/cbk?panoid=FbnFavIdbmyPi5fgig1mhQ&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=93.69207&pitch=0&thumbfov=100,FALSE,55.9598125,-3.1714375
Pets at Home Coatbridge,4.4,475,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Unit 9  Faraday Retail Park  Coatbank St  Glasgow  Coatbridge ML5 3SQ,VX5G+7J Coatbridge,community.petsathome.com,01236 440242,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,55.8581875,-4.0234375
Stell's Famous Pet Store,4.6,93,Pet Shop,,Norfolk St  Colne BB8 9JH,VR5P+Q6 Colne,,01282 864299,8:30am-5:30pm,10am-3pm,8:30am-5:30pm,8:30am-4:30pm,8:30am-5:30pm,8:30am-5:30pm,8:30am-5:30pm,https://lh5.googleusercontent.com/p/AF1QipPbCEgRJXVSvuaSXZoUZp_1FKQipzn2xmDBczRl=w425-h240-k-no,TRUE,53.8594375,-2.1644375
Pets at Home Glasgow Pollokshaws,4.5,322,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Unit 4  Auldhouse Retail Park  Cogan St  Pollokshaws  Glasgow G43 1AP,RPC3+8C Glasgow,community.petsathome.com,0345 850 9949,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,https://lh5.googleusercontent.com/p/AF1QipNz33PyJrZHmQrh0PZaNABSunPO8nIZwCpa77Ej=w408-h272-k-no,FALSE,55.8208125,-4.2964375
Just Dogs,4.8,104,Pet Shop,"Retailer for natural dog foods, accessories and supplies, also offering training and health advice.",14 Deanhaugh St  Stockbridge  Edinburgh EH4 1LY,XQ5R+77 Edinburgh,justdogsshop.co.uk,0131 332 0899,10am-5pm,Closed,Closed,10am-5:30pm,10am-5:30pm,10am-6pm,10am-5:30pm,https://lh5.googleusercontent.com/p/AF1QipN2lu8siCe8GhB2yhtKWtf-V6jo0oshQGH8p54w=w408-h544-k-no,TRUE,55.9581875,-3.2093125
Bishopbriggs Pet & Aquatic Centre Ltd,4.7,128,Pet Shop,"Pet shop selling animals and reptiles, birds and fish, with pet care advice, food and accessories.",Huntershill Village  100 Crowhill Rd  Bishopbriggs  Glasgow G64 1RP,"VQXF+M9 Bishopbriggs, Glasgow",bishopbriggspets.co.uk,0141 772 0001,10am-4pm,12-4pm,10am-4pm,10am-4pm,10am-4pm,10am-4pm,10am-4pm,https://lh5.googleusercontent.com/p/AF1QipNxmwQ3Y1Efmk2ficptK4tixncYi5VQb2PslwDf=w408-h306-k-no,TRUE,55.8991875,-4.2265625
Pets at Home Fort Kinnaird,4.4,1344,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       Curbside pickup     Delivery",Fort Kinnaird Retail Park  Newcraighall Rd  Edinburgh  Fort Kinnaird EH15 3RD,WVMX+C8 Musselburgh,community.petsathome.com,0345 600 9411,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,55.9335625,-3.1016875
Country Feeds Pet Supplies & Pet Parlour,4.7,38,Pet Shop,,Westbourne Centre  Kelburn St  Barrhead  Glasgow G78 1LR,QJX2+77 Barrhead,countryfeedspetshop.com,0141 881 2992,9:30am-5:30pm,10:30am-4:30pm,9:30am-5:30pm,9:30am-5:30pm,9:30am-5:30pm,9:30am-5:30pm,9:30am-5:30pm,,TRUE,55.7981875,-4.3993125
Pets at Home Craigleith,4.4,511,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Craigleith Retail Park  S Groathill Ave  Craigleith EH4 2LN,XQ55+HR Edinburgh,community.petsathome.com,0345 266 7623,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,55.9589375,-3.2404375
Pets at Home Pentland,4.3,804,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Unit B Straiton Mains  Fountain Pl  Loanhead EH20 9PW,VRPQ+F4 Loanhead,community.petsathome.com,0345 600 9694,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,55.8861875,-3.1621875
Pets at Home Linlithgow,4.4,213,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Unit 3  Home Stockbridge Retail Park  Falkirk Rd  Linlithgow EH49 7AS,X9GG+2P Linlithgow,community.petsathome.com,0345 850 8868,9am-7pm,10am-5pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,https://lh5.googleusercontent.com/p/AF1QipONJnPkt8ATeUzTImXWHUc1njj3hHH0jde7pyP_=w408-h408-k-no,FALSE,55.9750625,-3.6231875
Pets at Home Cumbernauld,4.4,415,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Unit 1 Cumbernauld Retail Park  Westfield Rd  Cumbernauld G68 9NE,"WXV8+7F Cumbernauld, Glasgow",community.petsathome.com,0845 266 1119,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,55.9431875,-4.0338125
Pets Corner,4.4,100,Pet Shop,   In-store shopping     Curbside pickup     Delivery,Unit 1  Latchford House  Latchford East  Warrington WA4 1LW,9CJQ+J9 Warrington,petscorner.co.uk,01925 636115,9am-6pm,10am-4pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,https://lh5.googleusercontent.com/p/AF1QipPmdpB6Iz_ZhjKMpnepbGRiPXmb6QzZ9JvHYww5=w408-h309-k-no,FALSE,53.3815625,-2.5615625
Pets at Home East Kilbride,4.5,250,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Unit 3 Howard Ave  Nerston Industrial Estate  East Kilbride  Glasgow G74 4ZA,"QRHM+MP East Kilbride, Glasgow",petsathome.com,0345 266 7760,9am-7pm,10am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,55.7791875,-4.1656875
Scales 'n' Stuff,4.8,13,Pet Shop,,39 Galloway St  Dumfries DG2 7TN,399J+C9 Dumfries,,07593 558331,11am-5pm,Closed,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,https://geo1.ggpht.com/cbk?panoid=J4e-j-EPEg9YxNwX721MHg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=4.9162555&pitch=0&thumbfov=100,FALSE,55.0685625,-3.6190625
Pets at Home Glasgow,4.4,1107,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",FORGE RETAIL PARK  13  The  71 Biggar St  Glasgow G31 4BH,VQ4V+47 Glasgow,community.petsathome.com,0345 600 1768,,,,,,,,,FALSE,55.8553125,-4.2068125
Pets at Home Carlisle,4.5,399,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Unit 1  London Road Retail Park  London Rd  Carlisle CA1 2PD,V3MM+PQ Carlisle,community.petsathome.com,01228 533601,9am-7pm,10am-4pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,,FALSE,54.8843125,-2.9155625
Watsons Pet Shop,4.6,44,Pet Care Store,,23 Fisher St  Workington CA14 2EP,JCVX+X4 Workington,,01900 603684,9:30am-5pm,Closed,9:30am-5pm,9:30am-5pm,Closed,9:30am-5pm,9:30am-5pm,https://lh5.googleusercontent.com/p/AF1QipOvfEu8_6uII0uDgrGSCMyHGkBmHz8doU5zyCyM=w507-h240-k-no,FALSE,54.6449375,-3.5521875
Hala Pet Stores,4.8,56,Pet Shop,,10 Lentworth House  Lentworth Dr  Lancaster LA1 4RQ,26H5+26 Lancaster,halapetstoresonline.co.uk,01524 847434,9am-5pm,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,https://lh5.googleusercontent.com/p/AF1QipMEWC_yxsrOGjRzijweYasqBsmY_WWPG4jKyiLf=w426-h240-k-no,TRUE,54.0275625,-2.7919375
Pets Corner,4.5,101,Pet Shop,   In-store shopping     Curbside pickup     Delivery,Grundisburgh Road Dobbies Garden Centre  Woodbridge IP13 6HX,37WW+6G Woodbridge,petscorner.co.uk,01394 615625,9am-5pm,10:30am-4:30pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,,FALSE,52.0955625,1.2963125
Pets at Home Kirkcaldy,4.3,853,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",Unit 3  Fife Central Retail Park  Chapel Level  Kirkcaldy KY2 6QL,4QPX+3X Kirkcaldy,community.petsathome.com,0345 600 9479,9am-7pm,10am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,,FALSE,56.1351875,-3.2000625
Pets at Home Falkirk,4.3,294,Pet Shop,"One-stop shop for pet food, toys, equipment and insurance, plus small animals, fish and reptiles.       In-store pick-up",15 Grahams Rd  Falkirk FK1 1LD,2638+7M Falkirk,community.petsathome.com,01324 612455,9am-7pm,10am-5pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,https://lh5.googleusercontent.com/p/AF1QipN8eeEvwePJcF_LOQCuQLKCf18T6KOzQbDRO9w=w408-h544-k-no,FALSE,56.0031875,-3.7833125
Smooches Pooches Ltd.,5,19,Pet Shop,,28 Bruntsfield Pl  Edinburgh EH10 4HJ,WQQW+R3 Edinburgh,smoochespooches.net,0131 478 3268,10am-5pm,11am-4pm,Closed,10am-6pm,10am-6pm,10am-6pm,10am-6pm,,TRUE,55.9395625,-3.2048125
PamPurred Pets,4.8,53,Pet Shop,"Retail chain supplying care products for family pets, plus an animal advice service.       In-store shopping     Curbside pickup     Delivery",27 High St  Hythe  Southampton SO45 6AG,VJC2+3J Southampton,petscorner.co.uk,023 8084 9140,9am-5:30pm,10am-4pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,9am-5:30pm,,FALSE,50.8701875,-1.3984375
The Pet Shop,4.5,24,Pet Shop,,59 George St  Dunoon PA23 8BW,X32G+P5 Dunoon,,01369 706815,"9am-1pm, 2-5pm",Closed,"9am-1pm, 2-5:30pm","9am-1pm, 2-5:30pm","9am-1pm, 2-5:30pm","9am-1pm, 2-5:30pm","9am-1pm, 2-5:30pm",,TRUE,55.9518125,-4.9245625
Pets Corner,4.6,198,Pet Shop,   In-store shopping     Curbside pickup     Delivery,Unit 2  Retail Park  High St  Gosport PO12 1SP,QVVF+VH Gosport,petscorner.co.uk,023 9252 4669,9am-6pm,10am-4pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,https://lh5.googleusercontent.com/p/AF1QipOR4oQYiMCByqxwOYm2UoVJikSj8E-kM1fl8Fvd=w426-h240-k-no,FALSE,50.7946875,-1.1260625
Mark's Pet Shop,4.7,73,Pet Care Store,,41 Poulton Rd  Fleetwood FY7 6TB,WXCJ+FM Fleetwood,,01253 874076,9am-5pm,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,,FALSE,53.9211875,-3.0183125
Abnoba Pet Store,4.4,5,Pet Shop,,Unit 14 North Street Trading Estate  Brierley Hill DY5 3QF,FVHC+QH Brierley Hill,abnobapetstore.co.uk,01384 834742,Closed,Closed,9am-2pm,9am-2pm,9am-2pm,9am-2pm,9am-12pm,,FALSE,52.4794375,-2.1285625
Neongecko,4.4,100,Pet Shop,,237 London Rd  Glasgow G40 1PE,VQ37+G3 Glasgow,neongeckoonline.co.uk,0141 552 1252,11am-5pm,Closed,11am-5pm,12-5pm,11am-5pm,11am-5pm,11am-5pm,https://lh5.googleusercontent.com/p/AF1QipO7TjPyjiaZQEyfJdgBtiQOP55-nhNHieTo4f3u=w408-h306-k-no,TRUE,55.8538125,-4.2373125
